Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2013-03-15;83545.0;2.6;8.3
2013-03-19;76214.0;6.5;8.7
2013-03-28;74752.0;5.2;9.7
2013-03-31;66876.0;4.8;10.0
2013-04-01;65733.0;5.4;10.1
2013-04-06;69109.0;5.5;10.7
2013-04-07;66599.0;6.6;10.8
2013-04-13;59065.0;11.9;11.6
2013-04-23;60083.0;12.2;12.9
2013-04-28;54900.0;7.8;13.6
2013-05-06;54866.0;14.8;14.6
2013-05-08;48765.0;15.7;14.8
2013-05-12;48809.0;12.1;15.3
2013-05-19;51238.0;11.3;16.1
2013-05-26;53794.0;10.9;16.9
2013-06-08;48088.0;17.8;18.2
2013-06-11;54840.0;17.0;18.5
2013-06-12;55622.0;19.2;18.6
2013-06-14;54366.0;16.3;18.8
2013-06-20;55891.0;17.9;19.3
2013-06-23;45762.0;16.0;19.6
2013-06-29;48894.0;16.7;20.1
2013-06-30;46129.0;18.2;20.2
2013-07-10;57204.0;22.3;20.8
2013-07-12;55784.0;20.4;20.9
2013-07-14;46386.0;22.3;21.0
2013-07-16;56614.0;23.1;21.1
2013-07-30;52586.0;20.6;21.2
2013-07-31;53196.0;22.8;21.2
2013-08-10;43841.0;19.3;20.8
2013-08-15;43852.0;20.4;20.4
2013-08-29;53963.0;18.6;19.1
2013-09-02;53290.0;18.1;18.7
2013-09-03;54944.0;19.7;18.5
2013-09-12;55571.0;15.1;17.4
2013-09-13;55405.0;16.6;17.3
2013-09-15;45322.0;14.9;17.0
2013-09-24;54510.0;17.8;15.9
2013-09-26;55221.0;19.4;15.6
2013-10-04;55499.0;18.1;14.6
2013-10-13;54018.0;9.8;13.4
2013-10-18;59201.0;13.4;12.7
2013-10-27;48906.0;15.8;11.4
2013-11-04;67891.0;10.8;10.3
2013-11-05;69802.0;10.1;10.1
2013-11-23;73687.0;5.0;7.5
2013-12-06;79077.0;6.1;6.0
2013-12-15;70347.0;6.2;5.2
2013-12-17;77793.0;7.2;5.1
2013-12-18;76371.0;8.4;5.0
2013-12-22;64726.0;9.0;4.8
2013-12-24;65654.0;10.9;4.8
2013-12-25;59027.0;8.4;4.7
2013-12-27;67518.0;8.3;4.7
2013-12-28;66196.0;7.8;4.7
2013-12-31;69120.0;6.2;4.6
2012-01-02;73263.0;8.4;4.6
2012-01-09;77175.0;7.8;4.7
2012-01-10;77054.0;7.4;4.7
2012-01-11;77954.0;6.5;4.7
2012-01-25;76639.0;8.0;5.2
2012-02-02;95975.0;-3.5;5.6
2012-02-03;95856.0;-4.6;5.7
2012-02-11;93750.0;-4.8;6.1
2012-02-12;90823.0;-4.2;6.2
2012-02-15;85723.0;5.0;6.4
2012-02-24;73157.0;9.3;6.9
2012-02-26;63377.0;8.2;7.0
2012-03-06;76384.0;5.1;7.6
2012-03-10;65334.0;8.5;7.9
2012-03-29;58178.0;14.0;9.8
2012-03-31;52580.0;11.5;10.0
2012-04-12;65546.0;9.1;11.5
2012-04-14;58220.0;8.8;11.7
